"mean","sd","2.5%","97.5%","Rhat","n_eff","parameter","model"
-1.4354,0.0181,-1.4709,-1.4009,0.9993,5146.1699,"alpha","primary_2.5"
-0.2141,0.0221,-0.2572,-0.1707,0.9997,5304.4986,"LIMIT_BAL","primary_2.5"
-0.0708,0.0176,-0.1061,-0.0363,0.9993,5896.5007,"SEX","primary_2.5"
-0.0573,0.0187,-0.0932,-0.0203,0.9996,6174.1918,"EDUCATION","primary_2.5"
-0.0933,0.0176,-0.1272,-0.0592,0.9995,4962.108,"MARRIAGE","primary_2.5"
0.6822,0.021,0.6401,0.7225,0.9997,5093.607,"PAY_0","primary_2.5"
0.0361,0.0235,-0.0104,0.0828,1.0001,4641.8335,"PAY_2","primary_2.5"
0.1043,0.0251,0.0561,0.1542,1,4315.6497,"PAY_3","primary_2.5"
0.0764,0.0267,0.0221,0.128,0.9995,4354.8836,"PAY_4","primary_2.5"
0.0473,0.0271,-0.0042,0.1004,0.9997,4605.5911,"PAY_5","primary_2.5"
0.1176,0.0228,0.073,0.1611,0.9995,5687.2826,"PAY_6","primary_2.5"
-0.1353,0.0336,-0.2039,-0.0722,0.9994,5062.9819,"PAY_AMT1","primary_2.5"
-0.1419,0.0388,-0.2205,-0.0693,0.9998,5487.914,"PAY_AMT2","primary_2.5"
-0.025,0.0262,-0.0786,0.0242,1.0002,5902.4943,"PAY_AMT3","primary_2.5"
-0.0325,0.0252,-0.0843,0.0143,0.9993,5841.2299,"PAY_AMT4","primary_2.5"
-0.0208,0.0234,-0.0675,0.0242,0.9993,5537.5169,"PAY_AMT5","primary_2.5"
-0.0338,0.0247,-0.0844,0.0128,0.9997,5019.9884,"PAY_AMT6","primary_2.5"
-1.4358,0.0183,-1.4718,-1.3999,0.9997,5720.6159,"alpha","sensitivity_1.0"
-0.2136,0.0214,-0.2551,-0.1708,0.9994,5329.1905,"LIMIT_BAL","sensitivity_1.0"
-0.0708,0.0176,-0.1056,-0.0366,0.9996,6917.2187,"SEX","sensitivity_1.0"
-0.0575,0.0188,-0.0944,-0.0203,0.9993,5313.2882,"EDUCATION","sensitivity_1.0"
-0.0929,0.0175,-0.1272,-0.0586,0.9995,5645.0503,"MARRIAGE","sensitivity_1.0"
0.6823,0.0214,0.6397,0.7248,0.9998,4833.1846,"PAY_0","sensitivity_1.0"
0.0361,0.0232,-0.0096,0.0814,0.9998,4905.1199,"PAY_2","sensitivity_1.0"
0.1044,0.0253,0.056,0.1536,0.9995,5101.5747,"PAY_3","sensitivity_1.0"
0.0769,0.0264,0.0246,0.1277,0.9997,4914.1529,"PAY_4","sensitivity_1.0"
0.0475,0.0265,-0.0043,0.0998,1,4775.928,"PAY_5","sensitivity_1.0"
0.1172,0.0224,0.0727,0.1597,1.0001,5050.1916,"PAY_6","sensitivity_1.0"
-0.136,0.0341,-0.2059,-0.0719,0.9995,5363.665,"PAY_AMT1","sensitivity_1.0"
-0.1419,0.0376,-0.2189,-0.0712,0.9995,5750.3246,"PAY_AMT2","sensitivity_1.0"
-0.0247,0.0263,-0.0787,0.0254,0.9993,6030.7124,"PAY_AMT3","sensitivity_1.0"
-0.0323,0.0247,-0.0822,0.014,1.0004,4968.3521,"PAY_AMT4","sensitivity_1.0"
-0.0214,0.0242,-0.0704,0.0239,1,6515.824,"PAY_AMT5","sensitivity_1.0"
-0.034,0.0258,-0.0857,0.0157,0.9995,6057.2871,"PAY_AMT6","sensitivity_1.0"
